HEADER
﻿0.9720;(963.7066,1117.6503,201.0385);(1.1491,-4.1077,-77.7380);
﻿1.0280;(963.5336,1116.8286,200.9688);(0.7632,-4.1279,-75.6708);
﻿1.0700;(963.3002,1116.1748,200.8313);(0.4711,-4.3679,-75.0416);
﻿1.1250;(963.0085,1115.3248,200.7322);(0.1997,-4.8519,-74.7185);
﻿1.1670;(962.7884,1114.7301,200.6953);(0.1315,-5.2780,-74.6067);
﻿1.2230;(962.5620,1113.9965,200.5948);(0.3760,-5.8406,-74.2932);
﻿1.2790;(962.3473,1113.3511,200.3736);(0.6088,-6.6794,-74.0566);
﻿1.3210;(962.1969,1112.9771,200.1735);(0.7060,-7.3916,-73.8440);
﻿1.3760;(961.9793,1112.6543,199.9120);(0.8219,-8.4016,-73.7020);
﻿1.4180;(961.8082,1112.5335,199.7937);(0.5890,-8.7726,-73.8758);
﻿1.4740;(961.5886,1112.5108,199.7252);(0.3267,-8.9713,-74.7145);
﻿1.5300;(961.4917,1112.5990,199.7322);(0.1673,-9.2519,-76.1445);
﻿1.5720;(961.5207,1112.7531,199.6969);(0.3086,-9.5861,-77.3557);
﻿1.6270;(961.7119,1113.0884,199.6488);(0.6000,-10.1197,-79.1715);
﻿1.6690;(961.9318,1113.4289,199.5903);(0.7068,-10.3318,-80.6306);
﻿1.7240;(962.3129,1113.9470,199.5407);(0.7362,-10.5307,-83.0454);
﻿1.7810;(962.7406,1114.4335,199.5572);(0.6777,-10.7259,-85.8123);
﻿1.8220;(963.0485,1114.8218,199.6459);(0.5982,-10.8614,-88.2025);
﻿1.8780;(963.4517,1115.3349,199.7426);(0.2065,-10.8298,-91.4809);
﻿1.9200;(963.7069,1115.7234,199.7753);(0.0253,-10.6750,-93.7522);
﻿1.9750;(964.0644,1116.2330,199.7791);(-0.2601,-10.8288,-96.6146);
﻿2.0170;(964.2786,1116.6340,199.7162);(-0.2187,-11.0744,-98.8407);
﻿2.0740;(964.4903,1117.2065,199.5791);(-0.0235,-11.4922,-101.8544);
﻿2.1280;(964.6207,1117.7677,199.5483);(-0.0790,-11.6138,-104.9543);
﻿2.1700;(964.6826,1118.2018,199.5421);(0.0250,-11.5898,-107.2035);
﻿2.2260;(964.7218,1118.7773,199.4981);(0.0117,-11.5984,-110.0293);
﻿2.2680;(964.7006,1119.1972,199.4318);(-0.0104,-11.6790,-112.0162);
﻿2.3240;(964.6142,1119.7836,199.2814);(-0.0085,-12.0522,-114.5287);
﻿2.3800;(964.4051,1120.3588,199.1551);(-0.0861,-12.3907,-117.3339);
﻿2.4210;(964.1920,1120.7892,199.1158);(-0.0670,-12.5224,-119.6636);
﻿2.4770;(963.8679,1121.3575,199.1027);(0.0075,-12.7259,-122.7419);
﻿2.5190;(963.6137,1121.7406,199.0979);(0.0466,-12.6833,-124.9383);
﻿2.5740;(963.2986,1122.2122,199.0938);(0.1207,-12.6227,-127.6366);
