HEADER
﻿1.0020;(998.9926,1128.0463,201.4827);(1.3879,-5.4170,-66.0206);
﻿1.0590;(998.7574,1127.7086,201.4841);(1.7536,-4.8564,-67.1960);
﻿1.1000;(998.7934,1127.5862,201.5745);(2.3029,-4.2972,-66.9053);
﻿1.1560;(998.9212,1127.5222,201.6956);(2.4075,-3.6340,-65.7253);
﻿1.1990;(998.9345,1127.4617,201.7558);(2.7161,-3.4215,-65.3125);
﻿1.2540;(998.7958,1127.3706,201.6549);(2.8505,-4.1199,-66.3167);
﻿1.3090;(998.5960,1127.2284,201.5209);(2.9583,-4.8370,-68.2176);
﻿1.3520;(998.5053,1127.1639,201.4100);(2.9808,-5.4601,-69.3891);
﻿1.4070;(998.3709,1127.1439,201.3026);(2.8655,-6.0046,-70.9650);
﻿1.4480;(998.2686,1127.1368,201.2678);(2.7246,-6.2266,-72.0711);
﻿1.5050;(998.1464,1127.1235,201.2373);(2.5457,-6.2538,-73.7220);
﻿1.5600;(998.1437,1127.1584,201.2016);(2.2505,-6.3675,-74.4471);
﻿1.6020;(998.3175,1127.2057,201.2061);(1.8358,-6.3424,-74.2619);
﻿1.6580;(998.4634,1127.2590,201.1723);(1.8513,-6.5995,-74.4375);
﻿1.6990;(998.6003,1127.2653,201.1830);(1.8241,-6.6906,-74.6219);
﻿1.7560;(998.8088,1127.2859,201.1487);(1.8674,-6.9480,-74.7947);
﻿1.8120;(999.0352,1127.2927,201.0938);(1.9020,-7.0632,-74.9055);
﻿1.8530;(999.1977,1127.3203,201.0464);(1.9111,-7.4018,-74.8119);
﻿1.9090;(999.4242,1127.3531,200.9897);(1.8210,-7.7170,-74.6961);
﻿1.9500;(999.6058,1127.3792,200.9572);(1.8364,-7.9728,-74.5421);
﻿2.0060;(999.8478,1127.3997,200.9539);(1.8528,-8.1045,-74.2928);
﻿2.0470;(1000.0335,1127.4227,200.9576);(1.8296,-8.1996,-74.0620);
﻿2.1030;(1000.2108,1127.4543,200.9455);(1.8498,-8.2549,-74.0283);
﻿2.1590;(1000.3638,1127.4814,200.9404);(1.7826,-8.4038,-73.9514);
﻿2.2020;(1000.4526,1127.5112,200.9307);(1.7330,-8.4392,-73.9716);
﻿2.2570;(1000.4762,1127.5031,200.9699);(1.7521,-8.2371,-74.6034);
﻿2.2980;(1000.2915,1127.4521,201.0089);(1.6875,-8.2160,-75.6553);
﻿2.3550;(999.9921,1127.3806,201.0729);(1.4805,-8.2609,-77.5353);
﻿2.4110;(999.5752,1127.2142,201.1648);(1.0535,-7.7847,-79.9424);
﻿2.4520;(999.1638,1127.0864,201.1619);(0.9524,-7.3939,-82.3447);
﻿2.5070;(998.3955,1126.8682,201.0940);(0.8788,-6.7148,-86.5552);
﻿2.5490;(997.7148,1126.7336,201.0773);(0.9209,-6.5061,-90.1107);
﻿2.6050;(996.5931,1126.6427,201.0878);(0.7352,-5.9251,-95.7117);
﻿2.6610;(995.4379,1126.6709,201.0168);(0.0612,-4.8390,-101.7563);
﻿2.7030;(994.6852,1126.7642,200.9044);(-0.3819,-4.1517,-106.4159);
﻿2.7590;(994.1023,1127.0348,200.7558);(-0.6044,-4.3311,-111.3902);
﻿2.8000;(993.9424,1127.2917,200.8248);(-0.8009,-4.7681,-114.6424);
﻿2.8550;(993.9955,1127.8175,200.8885);(-0.7669,-4.9304,-118.9666);
﻿2.8980;(994.2220,1128.2927,200.8858);(-0.7590,-4.6433,-122.0026);
﻿2.9530;(994.6826,1129.0086,200.8350);(-1.2159,-4.4048,-126.4148);
﻿3.0100;(995.2892,1129.7524,200.9179);(-1.5655,-4.6210,-131.0059);
﻿3.0500;(995.7643,1130.3485,201.0242);(-1.4130,-4.9948,-134.6380);
﻿3.1060;(996.4644,1131.1771,201.0023);(-1.4123,-5.3368,-139.3447);
﻿3.1480;(997.0270,1131.8117,200.8561);(-1.3804,-5.6654,-142.7546);
﻿3.2040;(997.7413,1132.6063,200.7059);(-1.0330,-6.3331,-146.9988);
﻿3.2600;(998.4049,1133.4346,200.4940);(-0.7459,-7.1537,-150.5091);
﻿3.3020;(998.8493,1134.0690,200.3941);(-0.6170,-7.5165,-153.3977);
﻿3.3570;(999.3869,1134.8308,200.2102);(-0.4625,-7.8008,-156.6074);
﻿3.3990;(999.7376,1135.3587,200.1068);(-0.2639,-7.9701,-158.6979);
﻿3.4540;(1000.1029,1135.9292,200.0366);(0.1829,-8.3017,-160.7074);
﻿3.5110;(1000.2975,1136.3429,199.9640);(0.2674,-8.3367,-162.0997);
﻿3.5520;(1000.3222,1136.5763,199.8331);(0.4782,-8.2036,-162.7730);
﻿3.6080;(1000.1499,1136.7339,199.6258);(0.8009,-8.2272,-162.7812);
﻿3.6500;(999.8691,1136.8337,199.4405);(1.0293,-8.4628,-162.4804);
﻿3.7050;(999.3943,1136.8696,199.2851);(1.2731,-9.4383,-161.3433);
﻿3.7620;(998.9113,1136.6134,199.4800);(1.7836,-9.8345,-158.9438);
﻿3.8030;(998.5381,1136.3250,199.7802);(1.3348,-9.1702,-156.7529);
﻿3.8580;(998.1887,1135.7550,199.9368);(1.6271,-8.1993,-153.3692);
﻿3.9000;(998.0721,1135.2041,200.0142);(1.7711,-8.1218,-150.1563);
﻿3.9560;(998.2899,1134.1420,200.1308);(2.0674,-8.2823,-143.7082);
﻿3.9980;(998.6027,1133.3199,200.1581);(2.1634,-8.3300,-138.4618);
﻿4.0530;(999.0930,1132.3693,200.1059);(2.0458,-8.8952,-132.0995);
﻿4.1090;(999.4260,1131.7027,200.1166);(2.0847,-9.1411,-127.9020);
﻿4.1510;(999.5517,1131.3002,200.1856);(1.9201,-9.0983,-125.8043);
﻿4.2070;(999.7980,1130.7865,200.2705);(2.0691,-8.9567,-123.1984);
﻿4.2490;(999.9961,1130.4050,200.3415);(2.3423,-8.9123,-121.2355);
﻿4.3040;(1000.3634,1129.9093,200.4158);(2.7175,-8.8597,-118.0432);
﻿4.3490;(1000.8467,1129.4833,200.4733);(2.6871,-8.6847,-114.0912);
﻿4.4080;(1001.7931,1128.9078,200.5170);(2.6961,-8.8097,-106.6558);
