HEADER
﻿0.5900;(1001.0532,1123.5810,233.8213);(-10.4271,-44.7994,101.8496);
﻿0.6470;(1000.3630,1122.6686,233.8287);(-11.8070,-44.6241,114.2155);
﻿0.6880;(1000.2419,1121.8081,234.1085);(-12.3397,-45.0129,121.7938);
﻿0.7440;(1000.3954,1120.9966,234.5894);(-11.0220,-43.0179,128.5248);
﻿0.7860;(1000.6755,1120.2025,234.7290);(-10.7068,-42.0917,133.1832);
﻿0.8420;(1001.1744,1119.3098,234.7488);(-9.9908,-41.3692,138.3606);
﻿0.8980;(1001.7171,1118.6274,234.8231);(-9.5276,-41.0788,142.4291);
﻿0.9400;(1002.0516,1118.2751,234.9469);(-9.5591,-40.5988,144.8926);
﻿0.9950;(1002.4283,1117.9460,235.0373);(-9.5098,-40.2288,147.6523);
﻿1.0360;(1002.5714,1117.7369,235.1352);(-9.2304,-39.8469,149.7242);
﻿1.0920;(1002.7258,1117.6925,235.2346);(-8.7149,-39.4943,151.2168);
﻿1.1490;(1002.9329,1117.8609,235.1702);(-8.4000,-39.8061,151.2613);
﻿1.1890;(1003.0780,1118.1258,235.0774);(-8.4109,-40.3885,150.1307);
﻿1.2460;(1003.2295,1118.5512,234.9956);(-8.1911,-41.1320,148.4082);
﻿1.2870;(1003.3416,1118.9610,234.9920);(-7.6684,-41.4285,146.2048);
﻿1.3430;(1003.5746,1119.5151,234.9832);(-6.6622,-41.9200,142.6707);
﻿1.3990;(1003.7316,1120.0638,235.0652);(-6.0472,-41.9893,139.1343);
﻿1.4400;(1003.8401,1120.4167,235.1050);(-5.7793,-41.9666,136.7732);
﻿1.4960;(1003.9936,1120.8507,235.0875);(-5.1889,-42.1330,133.5363);
﻿1.5380;(1004.1242,1121.1169,235.0189);(-4.6491,-42.5105,130.7874);
﻿1.5930;(1004.2511,1121.3743,234.9669);(-4.1087,-42.9532,127.6513);
﻿1.6350;(1004.3226,1121.5222,234.9466);(-3.7825,-43.2125,125.6408);
﻿1.6910;(1004.2831,1121.6237,234.9478);(-3.3069,-43.1935,123.4273);
﻿1.7460;(1004.2413,1121.6834,234.9749);(-3.3604,-43.1077,122.2053);
﻿1.7880;(1004.1507,1121.6319,235.0152);(-3.3737,-43.0124,121.6134);
﻿1.8440;(1004.0370,1121.5893,235.0921);(-3.3377,-42.7731,120.8059);
﻿1.8860;(1003.9910,1121.5980,235.1360);(-3.1680,-42.6503,119.8951);
﻿1.9420;(1004.0433,1121.6422,235.1689);(-2.6781,-42.7599,117.9891);
﻿1.9970;(1004.2305,1121.7492,235.2263);(-1.4531,-42.4434,115.0202);
﻿2.0390;(1004.3302,1121.7452,235.2317);(-0.7726,-42.5564,113.2496);
﻿2.0950;(1004.4293,1121.7350,235.2126);(-0.0451,-42.6503,111.4285);
﻿2.1370;(1004.4279,1121.6955,235.2127);(0.4162,-42.7001,110.4964);
﻿2.1930;(1004.3724,1121.6351,235.1976);(0.9873,-42.6544,109.5534);
﻿2.2480;(1004.2219,1121.5654,235.1662);(1.1577,-42.7677,109.3854);
﻿2.2900;(1004.1237,1121.5288,235.1363);(1.2987,-42.9105,109.2916);
