HEADER
﻿0.4210;(1828.6984,2400.0015,224.3727);(0.8164,8.7439,-45.4357);
﻿0.4750;(1827.9172,2399.3159,224.2812);(0.0252,8.0297,-49.5640);
﻿0.5170;(1827.3880,2398.8881,224.1602);(-0.3156,7.5439,-52.2869);
﻿0.5720;(1826.6954,2398.3561,223.9378);(-0.3227,6.4165,-55.8312);
﻿0.6130;(1826.1547,2397.9455,223.7563);(-0.2999,5.2427,-58.9294);
﻿0.6690;(1825.4470,2397.4765,223.5020);(-0.1982,3.6257,-62.7053);
﻿0.7250;(1824.7305,2397.0646,223.3133);(-0.4106,2.4106,-65.9897);
﻿0.7660;(1824.2093,2396.8057,223.2346);(-0.6467,1.6789,-68.2748);
﻿0.8220;(1823.4371,2396.5475,223.1279);(-1.0861,1.0268,-71.5679);
﻿0.8640;(1822.8501,2396.3957,222.9945);(-0.9992,0.2249,-74.1883);
﻿0.9200;(1822.0947,2396.2020,222.8111);(-0.9582,-0.9764,-77.8147);
﻿0.9750;(1821.4072,2396.0526,222.7427);(-0.9278,-1.5757,-80.9324);
﻿1.0180;(1820.8867,2395.9470,222.7594);(-1.0130,-1.6625,-83.3193);
﻿1.0730;(1820.2354,2395.8419,222.7799);(-1.1396,-1.6864,-86.5495);
﻿1.1150;(1819.6789,2395.7910,222.7901);(-1.1507,-1.8124,-89.5394);
﻿1.1710;(1818.9439,2395.7915,222.8098);(-1.0504,-1.8936,-94.1310);
﻿1.2260;(1818.2292,2395.8493,222.8261);(-0.8512,-1.8794,-99.1542);
﻿1.2680;(1817.7109,2395.9403,222.8301);(-0.7619,-2.1236,-103.0091);
﻿1.3230;(1817.0829,2396.0821,222.8281);(-0.5815,-2.3364,-108.1630);
﻿1.3660;(1816.6141,2396.2296,222.8452);(-0.5444,-2.4991,-112.0971);
﻿1.4210;(1816.0415,2396.4402,222.8445);(-0.4597,-2.4876,-117.0705);
﻿1.4770;(1815.5501,2396.7325,222.8039);(-0.5362,-2.7141,-121.8951);
﻿1.5180;(1815.2434,2396.9677,222.7509);(-0.5610,-2.9985,-125.1418);
