HEADER
﻿0.2220;(1821.2041,2375.9732,248.1707);(-0.8666,15.7412,-31.8546);
﻿0.2790;(1820.5019,2375.9123,248.3420);(-1.2013,17.1509,-35.2468);
﻿0.3200;(1819.9788,2375.9158,248.4939);(-1.3140,18.2781,-37.8627);
﻿0.3770;(1819.2947,2375.9532,248.5868);(-1.4454,19.7484,-41.8038);
﻿0.4180;(1818.8492,2376.0060,248.6779);(-1.6091,20.4489,-44.5794);
﻿0.4740;(1818.4669,2376.0338,248.5916);(-1.7021,20.3408,-47.7810);
﻿0.5290;(1818.3375,2375.9421,248.3053);(-1.7562,18.4833,-50.6049);
﻿0.5720;(1818.3401,2375.7816,248.1092);(-1.5597,16.8164,-52.5216);
﻿0.6270;(1818.3521,2375.4502,247.7238);(-1.4533,14.0731,-55.6808);
﻿0.6690;(1818.3483,2375.0741,247.4332);(-1.3932,11.8220,-58.4939);
﻿0.7240;(1818.3520,2374.5231,246.8774);(-1.2853,8.1175,-62.4947);
﻿0.7810;(1818.2606,2373.8505,246.2522);(-1.4094,4.2710,-67.1219);
﻿0.8220;(1818.1916,2373.3780,245.8117);(-1.2077,1.4337,-70.6501);
﻿0.8780;(1817.9952,2372.7911,245.2804);(-1.1707,-1.9692,-75.9852);
﻿0.9200;(1817.7914,2372.4054,244.8416);(-1.3019,-4.3405,-80.2621);
﻿0.9750;(1817.4636,2372.0428,244.5610);(-0.9095,-6.0797,-86.5140);
﻿1.0180;(1817.2335,2371.8819,244.5149);(-0.8601,-6.3988,-91.2987);
﻿1.0730;(1816.9490,2371.7734,244.4919);(-0.9183,-6.5613,-97.5302);
﻿1.1290;(1816.6886,2371.7519,244.5162);(-1.3374,-6.5078,-103.8347);
﻿1.1700;(1816.6188,2371.7906,244.5053);(-1.4264,-6.4441,-108.0130);
﻿1.2250;(1816.6063,2371.8861,244.5033);(-1.6795,-6.4291,-113.1047);
﻿1.2680;(1816.8298,2371.9424,244.5128);(-1.6148,-6.3523,-116.0580);
﻿1.3230;(1817.0629,2372.0401,244.5457);(-1.7253,-6.0798,-119.6880);
﻿1.3790;(1817.4583,2372.1177,244.5133);(-1.6554,-5.9163,-122.4684);
﻿1.4210;(1817.7790,2372.1462,244.4635);(-1.5790,-5.9128,-124.3765);
﻿1.4770;(1818.1043,2372.2350,244.4029);(-1.8299,-5.7996,-127.3330);
﻿1.5190;(1818.2838,2372.3168,244.3793);(-2.0566,-5.7027,-130.0207);
﻿1.5750;(1818.3792,2372.4729,244.3736);(-2.2606,-5.3996,-134.2296);
﻿1.6310;(1818.2734,2372.7158,244.2973);(-2.4344,-5.0569,-138.3989);
﻿1.6720;(1818.0112,2373.0068,244.2173);(-2.3674,-4.8484,-141.7186);
﻿1.7280;(1817.4090,2373.5784,244.1535);(-2.3678,-5.0286,-146.1525);
﻿1.7700;(1816.7570,2374.1386,244.0761);(-2.6939,-4.8974,-149.4737);
﻿1.8250;(1815.6833,2374.9208,244.0860);(-3.8679,-4.8088,-153.8501);
﻿1.8680;(1814.8039,2375.4339,244.1102);(-4.5708,-4.9560,-156.7940);
﻿1.9230;(1813.5689,2375.9960,244.1111);(-4.8279,-5.6430,-160.2439);
﻿1.9790;(1812.3521,2376.3639,243.9585);(-4.9873,-6.1687,-162.8728);
﻿2.0200;(1811.4206,2376.5066,243.8965);(-5.0982,-6.2660,-164.4109);
