HEADER
﻿0.7230;(1812.7805,2363.4136,207.3440);(-1.3915,48.8462,-7.5508);
﻿0.7790;(1813.4717,2363.2037,207.1714);(-0.9977,45.4103,-2.4059);
﻿0.8220;(1814.2292,2362.9779,206.8787);(-1.3065,40.9335,0.0481);
﻿0.8770;(1815.5438,2362.7216,206.1453);(-2.0997,32.6479,1.6581);
﻿0.9190;(1816.5694,2362.4958,205.4055);(-2.4445,25.8641,2.2683);
﻿0.9750;(1817.7289,2362.2702,204.4861);(-2.6674,17.5801,2.8281);
﻿1.0300;(1818.7013,2362.1535,203.5360);(-2.2634,10.3809,3.0258);
﻿1.0720;(1819.2279,2362.1503,202.7734);(-1.4804,6.0781,3.3775);
﻿1.1270;(1819.8997,2362.1346,201.8835);(-0.3855,0.2397,3.0667);
﻿1.1680;(1820.3642,2362.1240,201.2072);(0.6724,-3.5816,2.7697);
﻿1.2250;(1820.9442,2362.0055,200.5418);(1.1752,-8.2467,2.1051);
﻿1.2810;(1821.4984,2361.7787,200.0120);(1.1698,-11.5247,0.8729);
﻿1.3220;(1821.9060,2361.4261,199.9004);(1.3214,-12.2500,-1.3034);
﻿1.3770;(1822.2492,2360.9724,199.5627);(1.6669,-13.7540,-4.0318);
﻿1.4200;(1822.4754,2360.6166,199.3833);(1.7755,-14.9200,-6.0050);
﻿1.4750;(1822.7726,2360.2354,199.2284);(1.6612,-15.7568,-7.8885);
﻿1.5310;(1823.0076,2359.8026,199.1941);(1.1971,-15.5987,-9.6534);
﻿1.5730;(1823.1038,2359.4536,199.1695);(0.7973,-15.7504,-10.8971);
﻿1.6280;(1823.1669,2358.9218,199.1394);(0.8794,-15.7244,-13.7204);
﻿1.6710;(1823.1509,2358.4942,199.1353);(0.9720,-15.7666,-15.9409);
﻿1.7260;(1823.1348,2357.9564,199.1673);(0.9534,-15.6010,-18.5753);
﻿1.7680;(1823.0834,2357.6005,199.1837);(0.9608,-15.5582,-20.4811);
﻿1.8230;(1823.0555,2357.2061,199.2483);(0.7832,-15.3295,-22.3691);
﻿1.8790;(1823.0043,2356.8340,199.3125);(0.5432,-15.0963,-24.0017);
﻿1.9210;(1822.9787,2356.6024,199.3778);(0.3214,-14.7962,-24.9549);
﻿1.9760;(1822.9178,2356.3626,199.4635);(0.1299,-14.4195,-25.8257);
﻿2.0180;(1822.8398,2356.2207,199.5243);(-0.0733,-13.9986,-26.4950);
﻿2.0740;(1822.7060,2356.0216,199.6681);(-0.4054,-13.3262,-27.2110);
﻿2.1310;(1822.4624,2355.7421,199.9441);(-0.6095,-11.8015,-28.7418);
﻿2.1720;(1822.1571,2355.4144,200.3117);(-1.1726,-9.9894,-30.6569);
﻿2.2270;(1821.5870,2354.8636,200.7961);(-1.5083,-7.3125,-34.3122);
﻿2.2690;(1821.0703,2354.3747,201.0952);(-1.5282,-5.5303,-37.6938);
﻿2.3240;(1820.3726,2353.6474,201.3548);(-1.8056,-3.7436,-42.6133);
﻿2.3800;(1819.6630,2352.8785,201.4382);(-1.7194,-2.9470,-47.8542);
﻿2.4220;(1819.1654,2352.3234,201.3568);(-1.3022,-3.2236,-51.2826);
﻿2.4770;(1818.5479,2351.5638,201.3378);(-1.2148,-3.4267,-55.5521);
﻿2.5200;(1818.1960,2351.0661,201.2587);(-0.6811,-3.4884,-57.7376);
﻿2.5750;(1817.6153,2350.4359,201.2068);(-0.6617,-3.6482,-60.3656);
﻿2.6320;(1817.0084,2349.7873,201.1647);(-0.4418,-3.2919,-63.0000);
﻿2.6720;(1816.5052,2349.2659,201.0968);(-0.1050,-2.9295,-65.3581);
﻿2.7280;(1815.9010,2348.6087,200.9463);(0.3942,-2.7574,-68.2300);
﻿2.7710;(1815.4856,2348.1935,200.7834);(0.4667,-3.1610,-70.1444);
﻿2.8260;(1815.0731,2347.7916,200.7012);(0.1562,-3.5212,-72.4776);
﻿2.8690;(1814.8249,2347.6172,200.7275);(-0.2164,-3.8867,-74.3441);
﻿2.9240;(1814.6478,2347.5630,200.8381);(-0.2560,-4.1189,-76.5801);
﻿2.9800;(1814.6446,2347.7425,200.8555);(-0.6081,-3.7316,-78.6828);
﻿3.0220;(1814.7819,2348.0066,200.9345);(-0.7411,-3.7370,-80.0031);
﻿3.0770;(1815.0390,2348.4419,201.0770);(-0.7719,-3.6558,-81.5334);
﻿3.1200;(1815.2066,2348.8742,201.2448);(-0.8853,-3.7990,-82.9954);
﻿3.1760;(1815.5670,2349.5711,201.4346);(-1.2359,-3.7826,-84.9021);
﻿3.2310;(1816.0464,2350.3648,201.4947);(-1.2979,-3.6394,-86.6289);
﻿3.2720;(1816.4899,2350.9942,201.4716);(-1.2557,-3.6459,-87.5675);
﻿3.3280;(1817.1298,2351.8743,201.3062);(-0.7886,-4.2454,-88.7744);
﻿3.3700;(1817.6150,2352.5307,201.1823);(-0.5325,-4.6253,-89.6408);
﻿3.4250;(1818.2623,2353.4224,200.9511);(0.0022,-5.0270,-90.8784);
﻿3.4820;(1818.9124,2354.3144,200.7071);(0.4195,-5.6492,-91.9869);
﻿3.5240;(1819.3702,2355.0032,200.4777);(0.8375,-6.2043,-92.7330);
﻿3.5790;(1819.9374,2355.8676,200.2633);(1.0807,-6.5508,-93.6837);
﻿3.6210;(1820.3617,2356.5087,200.1413);(1.2974,-6.6282,-94.3831);
﻿3.6760;(1820.8987,2357.2810,200.1670);(1.3932,-5.9097,-94.9012);
﻿3.7190;(1821.3261,2357.8598,200.1568);(1.4375,-5.5481,-95.0150);
﻿3.7740;(1821.8467,2358.5162,200.2418);(1.3485,-4.8423,-94.9435);
﻿3.8290;(1822.3086,2359.0764,200.2675);(1.5417,-4.5794,-94.7282);
﻿3.8710;(1822.5779,2359.4159,200.2284);(1.6895,-4.6517,-94.6084);
﻿3.9270;(1822.8367,2359.7821,200.1052);(1.8782,-5.1685,-94.4043);
﻿3.9690;(1822.9366,2360.0169,200.0006);(1.9024,-5.3056,-94.3770);
﻿4.0250;(1822.8838,2360.3370,199.8620);(1.6760,-5.4539,-94.8533);
﻿4.0800;(1822.7044,2360.6211,199.8688);(1.4069,-5.5543,-95.7123);
﻿4.1220;(1822.5273,2360.7993,199.9412);(1.2059,-5.5125,-96.3703);
﻿4.1770;(1822.3086,2360.9991,200.0101);(0.8966,-5.2388,-97.2394);
﻿4.2190;(1822.1411,2361.0898,200.0041);(0.5749,-5.1490,-97.8424);
﻿4.2740;(1821.9789,2361.1492,199.9935);(0.4166,-5.0490,-98.3934);
﻿4.3290;(1821.8621,2361.1757,200.0641);(0.2889,-4.9176,-98.7414);
﻿4.3720;(1821.8572,2361.1837,200.1988);(0.1547,-4.2612,-98.4738);
﻿4.4280;(1821.8655,2361.2413,200.3986);(-0.3033,-2.9767,-98.0870);
﻿4.4700;(1821.8713,2361.2761,200.5771);(-0.5583,-1.8439,-97.8489);
﻿4.5260;(1821.8659,2361.3182,200.7143);(-0.6606,-0.6204,-97.8808);
﻿4.5810;(1821.8756,2361.3256,200.8178);(-0.4085,-0.0337,-97.8291);
﻿4.6230;(1821.8643,2361.2899,200.8801);(-0.1009,0.2692,-97.7989);
﻿4.6790;(1821.9739,2361.1480,200.7953);(0.5031,0.1754,-97.1109);
﻿4.7200;(1822.2396,2360.9956,200.7277);(1.2801,-0.1952,-95.4166);
﻿4.7760;(1822.8582,2360.8410,200.5373);(2.1710,-0.7867,-91.4613);
