HEADER
﻿0.6050;(-488.9916,-8.0951,243.9556);(1.4395,-3.5238,83.3420);
﻿0.6600;(-489.2043,-8.2592,244.0046);(1.3639,-3.1708,84.5766);
﻿0.7020;(-489.4093,-8.4489,244.0779);(1.2853,-2.9037,86.1968);
﻿0.7570;(-489.5982,-8.6937,244.1430);(1.1276,-2.3822,88.0238);
﻿0.8120;(-489.5643,-8.9113,244.1563);(0.7266,-2.2626,88.8630);
﻿0.8540;(-489.4155,-9.0175,244.1199);(0.6795,-2.3361,88.6223);
﻿0.9100;(-489.1695,-9.0681,244.0590);(0.6953,-2.7171,88.0391);
﻿0.9520;(-488.9672,-9.0600,244.0239);(0.7125,-2.9603,87.6904);
﻿1.0080;(-488.6837,-9.0302,243.9238);(0.6408,-3.4644,87.3075);
﻿1.0490;(-488.4108,-9.0332,243.8145);(0.5092,-4.1807,86.7373);
﻿1.1050;(-487.9810,-9.0748,243.6913);(0.6220,-4.8925,85.3064);
﻿1.1610;(-487.4865,-9.1936,243.5907);(0.9320,-5.4859,83.3062);
﻿1.2020;(-487.0892,-9.3234,243.5185);(1.0128,-5.9300,81.5553);
﻿1.2580;(-486.5836,-9.5101,243.4114);(0.9687,-6.5769,79.3820);
﻿1.3000;(-486.2712,-9.6744,243.3401);(0.8643,-7.0051,77.9657);
﻿1.3550;(-485.9231,-9.8689,243.3016);(0.7075,-7.2030,76.4851);
﻿1.4120;(-485.6128,-10.0596,243.2752);(0.6278,-7.3884,74.9170);
﻿1.4530;(-485.3801,-10.1919,243.2683);(0.5938,-7.4542,73.6329);
﻿1.5090;(-485.0265,-10.3592,243.2643);(0.6412,-7.5428,71.6002);
﻿1.5500;(-484.7903,-10.4614,243.2823);(0.6799,-7.4674,70.0951);
﻿1.6060;(-484.4793,-10.5887,243.2873);(0.7661,-7.4408,68.0122);
﻿1.6620;(-484.1625,-10.6700,243.2663);(0.7972,-7.6426,66.0505);
﻿1.7030;(-483.9480,-10.6927,243.2407);(0.8656,-7.7043,64.7037);
﻿1.7590;(-483.6916,-10.6723,243.1789);(0.8040,-8.0793,63.2435);
﻿1.8020;(-483.5230,-10.6521,243.1042);(0.8112,-8.5042,62.3104);
﻿1.8570;(-483.3285,-10.5960,243.0525);(0.8335,-8.7257,61.4156);
﻿1.9120;(-483.2142,-10.5071,243.0040);(0.9078,-9.0154,60.9844);
﻿1.9550;(-483.1833,-10.4124,242.9451);(0.9781,-9.2373,61.0102);
﻿2.0110;(-483.1705,-10.2513,242.9174);(1.0174,-9.3789,61.2406);
﻿2.0520;(-483.1835,-10.1405,242.8767);(1.0843,-9.5679,61.4466);
﻿2.1080;(-483.1800,-9.9931,242.8441);(1.0856,-9.7816,61.5917);
﻿2.1490;(-483.1758,-9.8978,242.8023);(1.0836,-9.8925,61.6079);
﻿2.2050;(-483.1545,-9.7858,242.7896);(1.0600,-10.0016,61.5222);
﻿2.2600;(-483.1509,-9.6811,242.7782);(1.0956,-10.1712,61.4325);
﻿2.3020;(-483.1653,-9.5954,242.7602);(1.0485,-10.2277,61.5061);
﻿2.3570;(-483.1899,-9.4857,242.7171);(1.0857,-10.4335,61.6009);
﻿2.4000;(-483.2196,-9.4117,242.6797);(1.0754,-10.6474,61.7772);
﻿2.4550;(-483.3008,-9.3158,242.6365);(1.0613,-10.8791,62.1351);
﻿2.5110;(-483.4018,-9.2439,242.5988);(0.9785,-11.0798,62.6844);
﻿2.5530;(-483.4791,-9.2108,242.5803);(0.9883,-11.1996,63.0770);
﻿2.6090;(-483.6070,-9.1804,242.5461);(1.0300,-11.3035,63.5436);
﻿2.6500;(-483.6963,-9.1852,242.5296);(1.0754,-11.3259,63.8227);
﻿2.7060;(-483.8062,-9.2210,242.5356);(0.9917,-11.2989,63.9683);
﻿2.7620;(-483.9220,-9.2558,242.5293);(0.9662,-11.2730,63.9900);
﻿2.8040;(-484.0238,-9.2729,242.5271);(0.9775,-11.2415,63.9859);
﻿2.8590;(-484.1907,-9.2910,242.5071);(0.8949,-11.2966,64.0830);
﻿2.9010;(-484.3331,-9.2968,242.4959);(0.8833,-11.2716,64.1446);
﻿2.9570;(-484.5312,-9.3029,242.4829);(0.8738,-11.3241,64.1363);
﻿3.0120;(-484.7496,-9.2971,242.4906);(0.8782,-11.3101,64.0836);
﻿3.0540;(-484.9440,-9.2769,242.4922);(0.9604,-11.2656,64.0225);
﻿3.1100;(-485.2220,-9.2063,242.5054);(1.0004,-11.2414,63.9982);
﻿3.1520;(-485.4387,-9.1494,242.5127);(1.0576,-11.2163,63.9545);
﻿3.2080;(-485.7315,-9.0467,242.5232);(1.1241,-11.2110,63.9167);
﻿3.2480;(-485.9500,-8.9559,242.5455);(1.1796,-11.1420,63.8541);
﻿3.3040;(-486.2612,-8.7974,242.5727);(1.2501,-11.1678,63.7811);
﻿3.3610;(-486.5578,-8.6077,242.5698);(1.3344,-11.1440,63.6609);
﻿3.4020;(-486.7779,-8.4286,242.5730);(1.4108,-11.1959,63.5332);
﻿3.4580;(-487.0489,-8.1619,242.5571);(1.5367,-11.2334,63.3438);
﻿3.4990;(-487.2140,-7.9370,242.5455);(1.5615,-11.2282,63.1720);
