HEADER
﻿0.2470;(991.6977,1135.9215,242.9420);(-0.7260,-13.1808,-72.5470);
﻿0.3020;(992.4196,1135.9026,242.9463);(-0.7644,-13.0867,-71.3766);
﻿0.3440;(992.7731,1135.8638,242.8692);(-0.5799,-13.2361,-71.5416);
﻿0.4000;(993.1716,1135.7259,242.7473);(-0.2467,-13.7588,-72.2170);
﻿0.4560;(993.5335,1135.5633,242.5867);(0.0706,-14.4922,-72.7008);
﻿0.4970;(993.7408,1135.4249,242.4692);(0.0511,-14.9788,-73.2543);
﻿0.5530;(994.0326,1135.1967,242.2526);(0.1507,-15.8144,-73.9733);
﻿0.5940;(994.2246,1135.0134,242.1007);(0.1837,-16.5407,-74.6354);
﻿0.6500;(994.4826,1134.7537,241.8893);(0.2912,-17.6196,-75.4926);
﻿0.7060;(994.6592,1134.4861,241.7326);(0.4642,-18.4749,-76.8032);
﻿0.7480;(994.7816,1134.2786,241.5889);(0.6447,-19.1720,-77.9002);
﻿0.8030;(994.9068,1134.0035,241.3999);(0.9318,-20.0622,-79.5942);
﻿0.8450;(994.9531,1133.8111,241.2943);(1.0174,-20.5943,-80.8574);
﻿0.9000;(995.0152,1133.5854,241.1654);(1.2509,-21.1270,-82.3470);
﻿0.9420;(995.0205,1133.4352,241.1344);(1.4282,-21.2314,-83.5213);
﻿0.9990;(994.9697,1133.3233,241.0869);(1.6376,-21.5412,-84.9778);
﻿1.0540;(994.8548,1133.2519,241.0765);(1.7213,-21.5320,-86.4906);
﻿1.0960;(994.7564,1133.2157,241.0895);(1.7098,-21.3464,-87.4044);
﻿1.1520;(994.6653,1133.1731,241.0856);(1.6388,-21.1662,-88.2920);
﻿1.1930;(994.6023,1133.1540,241.0720);(1.6605,-21.2175,-88.7291);
﻿1.2490;(994.5559,1133.1298,241.0524);(1.6614,-21.3543,-88.9415);
﻿1.3040;(994.5190,1133.0792,241.0773);(1.6237,-21.2787,-89.0289);
﻿1.3460;(994.5104,1133.0429,241.1183);(1.6047,-21.1370,-88.9029);
﻿1.4020;(994.5068,1133.0227,241.1502);(1.3741,-21.0371,-88.5197);
﻿1.4450;(994.4905,1133.0127,241.1853);(1.1686,-20.9097,-88.2266);
﻿1.5000;(994.4758,1133.0339,241.2421);(0.9427,-20.7231,-87.8240);
﻿1.5550;(994.4745,1133.0922,241.2726);(0.7824,-20.6422,-87.4159);
﻿1.5970;(994.5043,1133.1331,241.3284);(0.6765,-20.4075,-86.9440);
﻿1.6530;(994.6059,1133.2485,241.4058);(0.4633,-20.0598,-86.1447);
﻿1.6950;(994.7178,1133.3351,241.4457);(0.4805,-19.9048,-85.4382);
﻿1.7510;(994.9774,1133.5145,241.4616);(0.5736,-19.8025,-84.1304);
﻿1.7920;(995.2422,1133.6443,241.4964);(0.7006,-19.6534,-82.7455);
﻿1.8480;(995.6992,1133.8943,241.5060);(0.8503,-19.5829,-80.1679);
