HEADER
﻿0.2470;(-443.1873,-30.6205,207.3351);(1.0876,50.2061,85.5693);
﻿0.3020;(-443.1711,-31.5556,207.2271);(0.9878,51.6955,88.3033);
﻿0.3430;(-443.1203,-32.1676,207.1784);(0.7416,52.4811,89.9342);
﻿0.3980;(-443.0072,-32.8450,207.0653);(0.3571,52.8754,91.7926);
﻿0.4540;(-442.8953,-33.4202,207.0057);(-0.1088,53.1113,93.4481);
﻿0.4950;(-442.8398,-33.7462,206.9322);(-0.5437,52.9700,94.3421);
﻿0.5510;(-442.8104,-34.0674,206.9021);(-0.6627,52.7174,95.3489);
﻿0.5930;(-442.8189,-34.2004,206.8557);(-0.6288,52.0147,95.8650);
﻿0.6490;(-442.8072,-34.2892,206.8342);(-0.7215,51.1825,95.9894);
﻿0.6910;(-442.7911,-34.3382,206.8130);(-1.1746,50.4251,95.5635);
﻿0.7460;(-442.7543,-34.3561,206.8264);(-1.8427,49.6838,94.7742);
﻿0.8020;(-442.7659,-34.3324,206.8105);(-2.3803,48.5292,93.8676);
﻿0.8430;(-442.8086,-34.3146,206.8076);(-2.5573,47.6945,93.0964);
﻿0.8990;(-442.8900,-34.2346,206.7907);(-2.7391,46.4067,91.9915);
﻿0.9410;(-442.9775,-34.1129,206.7565);(-2.6612,45.0993,91.2095);
﻿0.9960;(-443.1518,-33.9766,206.6944);(-2.3055,43.5888,90.5564);
﻿1.0520;(-443.4069,-33.8269,206.6387);(-1.6112,41.7882,90.3413);
﻿1.0950;(-443.6042,-33.7322,206.5817);(-1.0684,40.6278,90.3778);
﻿1.1500;(-443.8526,-33.5723,206.4391);(-0.6923,38.6524,90.2310);
﻿1.1920;(-444.0267,-33.4465,206.3212);(-0.3989,37.1942,90.0241);
﻿1.2480;(-444.2356,-33.2721,206.1269);(-0.3616,34.9580,89.4242);
﻿1.3030;(-444.4595,-33.0680,205.9126);(-0.1102,32.8300,88.8962);
﻿1.3440;(-444.6147,-32.8631,205.7797);(0.0935,31.0894,88.6086);
﻿1.4000;(-444.7789,-32.5656,205.5246);(0.3280,28.6637,88.1615);
﻿1.4420;(-444.8627,-32.2999,205.3051);(0.4972,26.2545,87.7321);
﻿1.4970;(-444.9289,-31.9916,204.9894);(0.6226,23.4806,87.1803);
﻿1.5530;(-444.9335,-31.6914,204.7000);(0.6434,20.6362,86.5327);
﻿1.5950;(-444.9021,-31.4774,204.4701);(0.5762,18.7869,85.9562);
﻿1.6510;(-444.7824,-31.1649,204.2263);(0.5199,16.2246,84.7112);
﻿1.6930;(-444.6774,-30.9281,203.9911);(0.5835,14.4827,83.8483);
﻿1.7480;(-444.5163,-30.6220,203.6669);(0.3850,11.8493,82.5294);
﻿1.7900;(-444.3563,-30.3881,203.3693);(0.3092,9.8937,81.5007);
﻿1.8460;(-444.1316,-30.0598,203.0597);(0.3123,7.3367,79.8570);
﻿1.9020;(-443.9243,-29.7449,202.7464);(0.5386,5.1554,78.4706);
﻿1.9430;(-443.7573,-29.4990,202.5460);(0.7108,3.5840,77.5183);
﻿1.9990;(-443.5534,-29.1595,202.2722);(0.8601,1.7654,76.4209);
﻿2.0410;(-443.3930,-28.8927,202.0966);(0.9634,0.4885,75.6980);
﻿2.0970;(-443.2187,-28.5237,201.8443);(1.0981,-1.2675,74.8788);
﻿2.1520;(-443.0424,-28.0923,201.6014);(1.3252,-3.0308,74.1486);
﻿2.1940;(-442.8533,-27.7579,201.4006);(1.3690,-4.2913,73.4014);
﻿2.2500;(-442.6154,-27.2827,201.1379);(1.5256,-6.1033,72.4103);
﻿2.2920;(-442.4319,-26.9375,200.9281);(1.5460,-7.4100,71.6529);
﻿2.3470;(-442.1923,-26.4779,200.6431);(1.6718,-9.1423,70.7556);
﻿2.4030;(-441.9639,-26.0504,200.3923);(1.7283,-10.6934,69.8649);
﻿2.4440;(-441.7670,-25.7401,200.2306);(1.8755,-11.5907,69.0125);
﻿2.5010;(-441.4966,-25.3353,200.0623);(2.2837,-12.5814,67.6715);
﻿2.5420;(-441.2838,-25.0486,199.9668);(2.6171,-13.0443,66.5622);
﻿2.5970;(-441.0047,-24.6707,199.8836);(2.8770,-13.5711,65.3477);
﻿2.6530;(-440.7499,-24.3194,199.8245);(3.0173,-13.8424,64.2562);
﻿2.6950;(-440.5234,-24.0934,199.7866);(3.0927,-13.9438,63.1957);
﻿2.7510;(-440.2264,-23.7858,199.7634);(3.2123,-13.9195,61.8805);
